"Gene_Id","padj","logFC","Regulation"
"229661_at",0.003394,3.4227639,"Upregulated"
"239606_at",0.003423,-1.5826461,"Downregulated"
"1553647_at",0.003485,-1.1895006,"Downregulated"
"208850_s_at",0.003515,2.5630303,"Upregulated"
"202016_at",0.003515,1.6817218,"Upregulated"
"228469_at",0.003515,-1.7237757,"Downregulated"
"215856_at",0.003515,-1.7414622,"Downregulated"
"242892_at",0.003515,-1.2004022,"Downregulated"
"219327_s_at",0.003515,-1.6666549,"Downregulated"
"221676_s_at",0.003515,1.0898029,"Upregulated"
"219965_s_at",0.003515,-1.1879763,"Downregulated"
"236098_at",0.003515,-2.6824188,"Downregulated"
"211571_s_at",0.003529,1.7772765,"Upregulated"
"242398_x_at",0.003575,-1.133237,"Downregulated"
"214421_x_at",0.003575,-2.8778642,"Downregulated"
"237094_at",0.003604,1.8410751,"Upregulated"
"200665_s_at",0.003628,2.0628742,"Upregulated"
"232309_at",0.003628,-1.5086112,"Downregulated"
"231879_at",0.003628,1.8431189,"Upregulated"
"1562208_a_at",0.003628,-1.4607901,"Downregulated"
"211653_x_at",0.003645,-3.4402445,"Downregulated"
"221729_at",0.003645,1.9518489,"Upregulated"
"229909_at",0.003645,-2.4032758,"Downregulated"
"205499_at",0.003645,1.9913791,"Upregulated"
"231978_at",0.003647,-3.7337804,"Downregulated"
"236001_at",0.003807,-3.3526676,"Downregulated"
"201261_x_at",0.003807,2.3708699,"Upregulated"
"1562765_at",0.003807,-1.9614927,"Downregulated"
"201185_at",0.003807,1.4561492,"Upregulated"
"216025_x_at",0.003807,-2.7396807,"Downregulated"
"37892_at",0.003947,5.9817584,"Upregulated"
"207426_s_at",0.004021,1.6764978,"Upregulated"
"226237_at",0.004021,3.5217517,"Upregulated"
"212464_s_at",0.004053,2.530473,"Upregulated"
"201035_s_at",0.004055,-1.2157702,"Downregulated"
"205530_at",0.004061,-1.2727517,"Downregulated"
"238222_at",0.004061,-9.1780163,"Downregulated"
"201666_at",0.004061,2.0927926,"Upregulated"
"242445_at",0.004061,-1.722693,"Downregulated"
"208581_x_at",0.004061,-1.8223506,"Downregulated"
"227491_at",0.00407,-1.4606932,"Downregulated"
"236216_at",0.00407,-1.0125759,"Downregulated"
"205289_at",0.004177,-1.8192399,"Downregulated"
"202006_at",0.004236,1.0599907,"Upregulated"
"212841_s_at",0.004236,-1.2858503,"Downregulated"
"242384_at",0.004236,-1.0725719,"Downregulated"
"207546_at",0.004249,-7.960095,"Downregulated"
"244530_at",0.004249,-1.6766921,"Downregulated"
"206172_at",0.004249,3.439477,"Upregulated"
"204519_s_at",0.004249,-2.4707902,"Downregulated"
"219249_s_at",0.004264,2.6036273,"Upregulated"
"229793_at",0.004264,-1.0752139,"Downregulated"
"212624_s_at",0.004264,1.6694207,"Upregulated"
"207560_at",0.004264,-1.2322245,"Downregulated"
"220724_at",0.004264,-5.2324383,"Downregulated"
"238942_at",0.004328,-2.1172511,"Downregulated"
"237108_x_at",0.004342,-3.8425416,"Downregulated"
"203819_s_at",0.004394,4.6396491,"Upregulated"
"216759_at",0.004407,-1.3104961,"Downregulated"
"211569_s_at",0.004422,-1.1303839,"Downregulated"
"33494_at",0.004422,-1.1275696,"Downregulated"
"216899_s_at",0.004443,1.2494611,"Upregulated"
"228116_at",0.004462,2.2616987,"Upregulated"
"202237_at",0.004462,1.7180859,"Upregulated"
"242055_at",0.004489,-1.5680584,"Downregulated"
"206539_s_at",0.004497,-2.1409082,"Downregulated"
"206796_at",0.004497,2.3684176,"Upregulated"
"222798_at",0.004497,-1.2224832,"Downregulated"
"243015_at",0.004509,-1.5495176,"Downregulated"
"208637_x_at",0.004509,1.5521609,"Upregulated"
"226311_at",0.004519,2.9709372,"Upregulated"
"221552_at",0.004541,-1.0379458,"Downregulated"
"241006_at",0.004667,-1.8057252,"Downregulated"
"210067_at",0.004787,-4.1283382,"Downregulated"
"210381_s_at",0.004787,-4.2018853,"Downregulated"
