"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"Hcd39 right",-0.181653969417695,7.11024547838499,-1.36940774476688,0.177991779235043,0.368070872376302,-5.60203451544754,"Not Significant"
"hsa-mir-129-1-P.1",0.195367469728536,8.68242492557428,1.36939164194729,0.177996773438227,0.368070872376302,-5.6020556568694,"Not Significant"
"hsa-mir-184-P",-0.204443391743204,11.0491917950083,-1.36795937528516,0.178441415324599,0.368915827361982,-5.60393517299066,"Not Significant"
"Hcd163PO left",-0.211416080003712,8.53939325424166,-1.36774571921133,0.178507817332141,0.368978613137086,-5.60421539259598,"Not Significant"
"uc.82+A",0.182434916601278,7.76342529956659,1.36721640346889,0.178672404944705,0.369244283881691,-5.60490944168245,"Not Significant"
"uc.332+",0.156461328149712,7.10221782854623,1.36709785684865,0.178709282330877,0.369245974791804,-5.60506484863382,"Not Significant"
"uc.124+A.1",-0.130090853191994,6.66189074761963,-1.36685033264449,0.178786300854723,0.369257925167235,-5.60538929711644,"Not Significant"
"blank.211",0.128172539277098,6.59068770403973,1.36684748580127,0.17878718681437,0.369257925167235,-5.60539302837411,"Not Significant"
"Hcd843 left.1",-0.143564432523083,6.35883526287883,-1.36639831936437,0.178927013235919,0.36945744558662,-5.6059816460402,"Not Significant"
"Blank.1199",0.144292464341309,6.60842750979274,1.36630539847181,0.178955950206019,0.36945744558662,-5.60610339368398,"Not Significant"
"uc.338+A",-0.189453860057984,10.4762113677064,-1.36615818685351,0.179001801504141,0.369477614876518,-5.60629625910288,"Not Significant"
"Hcd37_HPR114 right.1",-0.213418529177001,7.49073973260505,-1.36600927202948,0.179048192493103,0.369498889788267,-5.6064913365889,"Not Significant"
"uc.87+.1",0.202554411323955,8.20518226523623,1.36587595533791,0.179089732094502,0.369510146412996,-5.6066659641144,"Not Significant"
"hsa-mir-595-P",-0.137388630964598,10.2647878029193,-1.36570680856542,0.17914244652133,0.369544450519423,-5.60688750194315,"Not Significant"
"Hcd898 left",-0.143929902696135,8.70825889369706,-1.36551867734012,0.179201091463918,0.369590972122966,-5.60713387493113,"Not Significant"
"Hcd789 right",0.169110079124309,7.03220298512034,1.36532809165119,0.179260516588001,0.36963908374167,-5.60738343057285,"Not Significant"
"Blank.788",0.135120880390057,6.6497429682483,1.36481147344146,0.179421675801569,0.369835730202348,-5.60805973759795,"Not Significant"
"hsa-mir-181a2-P.1",0.194421924731899,7.95834877045404,1.36479083597547,0.179428115980983,0.369835730202348,-5.60808674932507,"Not Significant"
"Hcd645 left.1",0.191144849535915,6.7652328651778,1.36354897647282,0.179815981310287,0.370526698861292,-5.60971149203431,"Not Significant"
"Blank.34",0.171253976744048,6.62284199776531,1.36348585748453,0.179835712240295,0.370526698861292,-5.60979403537191,"Not Significant"
"Blank.236",0.124237629832878,6.58190372581516,1.36325467599551,0.179907993555571,0.370601056932016,-5.61009633120276,"Not Significant"
"hsa-mir-628-P",0.187403791204285,7.77616372704863,1.36220563844504,0.180236266965825,0.371202609358418,-5.61146747648266,"Not Significant"
"uc.52+.1",0.176192763784575,7.36322860889567,1.36206549433,0.180280156868111,0.37121834030353,-5.61165057879472,"Not Significant"
"Blank.503",-0.146620824074753,6.64345415800329,-1.36114792711746,0.180567720839796,0.371724657168085,-5.61284898065008,"Not Significant"
"mmu-mir-212-A",0.255212013979644,11.861941400464,1.36096584372751,0.180624827370793,0.371724657168085,-5.61308670537188,"Not Significant"
"hsa-mir-638-P",-0.12635522496819,6.83677299451279,-1.36093357059213,0.180634950592616,0.371724657168085,-5.6131288375458,"Not Significant"
"uc.23+.1",-0.190950620847455,7.04201768040501,-1.36065342965636,0.180722841659251,0.371830801404607,-5.61349451959885,"Not Significant"
"Hcd644_HPR241 left",-0.152818174131751,6.70899560365133,-1.36045436435091,0.180785316136657,0.371848735402424,-5.61375432766654,"Not Significant"
"HPR228 left",0.16536263240953,8.03310080625413,1.36039425227855,0.180804184918816,0.371848735402424,-5.61383277548779,"Not Significant"
"mmu-mir-188-A",-0.129495419321008,7.42778268323222,-1.36026637003854,0.180844331344414,0.371856617061607,-5.61399965458708,"Not Significant"
"Hcd928 right",-0.173868077131862,7.27612632743616,-1.35964209824703,0.181040409087962,0.372022374692676,-5.61481408780787,"Not Significant"
"mmu-miR-695-A.1",-0.156451095423791,6.66655534186313,-1.35963721275959,0.181041944216472,0.372022374692676,-5.61482046012938,"Not Significant"
"uc.146+A",-0.196074968530082,7.31214156347637,-1.35963578192954,0.181042393816903,0.372022374692676,-5.61482232640983,"Not Significant"
"mmu-mir-101b-A",-0.146023634722021,7.11877550866799,-1.35954708808561,0.181070265182451,0.372022374692676,-5.61493800930595,"Not Significant"
"mmu-mir-212-P.1",-0.192827340421676,10.7214533594799,-1.35921183457606,0.181175645835919,0.372164215317915,-5.61537521620293,"Not Significant"
